region_code,weather_param,year, key, value 
UK,MaxTemp,1921,Mar,9.4
UK,MaxTemp,1921,Apr,12
UK,MaxTemp,1921,May,14.9
UK,MaxTemp,1921,Jun,18.2
UK,MaxTemp,1921,Jul,21.5
UK,MaxTemp,1921,Aug,17.7
UK,MaxTemp,1921,Sept,17.3
UK,MaxTemp,1921,Oct,15.6
UK,MaxTemp,1921,Nov,7.3
UK,MaxTemp,1921,Dec,8.6
UK,MaxTemp,2002,Jan,7.9
UK,MaxTemp,1922,Feb,6.6
UK,MaxTemp,1922,Mar,7.2
UK,MaxTemp,1922,Apr,8.7
UK,MaxTemp,1922,May,15.8
UK,MaxTemp,1922,Jun,16.8
UK,MaxTemp,1922,Jul,16.2
UK,MaxTemp,1922,Aug,16.1
UK,MaxTemp,1922,Sept,14.8
UK,MaxTemp,1922,Oct,11.2
UK,MaxTemp,1922,Nov,8.5
UK,MaxTemp,1922,Dec,7.2
UK,MaxTemp,1993,Jan,7.8
UK,MaxTemp,1923,Feb,6.8
UK,MaxTemp,1923,Mar,9.1
UK,MaxTemp,1923,Apr,10
UK,MaxTemp,1923,May,12
UK,MaxTemp,1923,Jun,15.1
UK,MaxTemp,1923,Jul,19.8
UK,MaxTemp,1923,Aug,17.8
UK,MaxTemp,1923,Sept,15.2
UK,MaxTemp,1923,Oct,11.7
UK,MaxTemp,1923,Nov,5.8
UK,MaxTemp,1923,Dec,5.8
UK,MaxTemp,1923,Jan,7.7
UK,MaxTemp,1924,Feb,5.4
UK,MaxTemp,1924,Mar,7.2
UK,MaxTemp,1924,Apr,10.1
UK,MaxTemp,1924,May,13.6
UK,MaxTemp,1924,Jun,16.4
UK,MaxTemp,1924,Jul,18
UK,MaxTemp,1924,Aug,16.7
UK,MaxTemp,1924,Sept,15.3
UK,MaxTemp,1924,Oct,12.3
UK,MaxTemp,1924,Nov,9.1
UK,MaxTemp,1924,Dec,8.4
UK,MaxTemp,1957,Jan,7.5
UK,MaxTemp,1925,Feb,6.7
UK,MaxTemp,1925,Mar,7.3
UK,MaxTemp,1925,Apr,10.3
UK,MaxTemp,1925,May,14
UK,MaxTemp,1925,Jun,18.5
UK,MaxTemp,1925,Jul,19.9
UK,MaxTemp,1925,Aug,18.2
UK,MaxTemp,1925,Sept,14.1
UK,MaxTemp,1925,Oct,12.9
UK,MaxTemp,1925,Nov,6.4
UK,MaxTemp,1925,Dec,4.8
UK,MaxTemp,2012,Jan,7.5
UK,MaxTemp,1926,Feb,8.1
UK,MaxTemp,1926,Mar,8.7
UK,MaxTemp,1926,Apr,12.2
UK,MaxTemp,1926,May,13.1
UK,MaxTemp,1926,Jun,16.7
UK,MaxTemp,1926,Jul,19.7
UK,MaxTemp,1926,Aug,19.2
UK,MaxTemp,1926,Sept,17
UK,MaxTemp,1926,Oct,10.5
UK,MaxTemp,1926,Nov,8
UK,MaxTemp,1926,Dec,6.3
UK,MaxTemp,1938,Jan,7.4
UK,MaxTemp,1927,Feb,6.7
UK,MaxTemp,1927,Mar,9.4
UK,MaxTemp,1927,Apr,10.5
UK,MaxTemp,1927,May,14.1
UK,MaxTemp,1927,Jun,15.1
UK,MaxTemp,1927,Jul,18.3
UK,MaxTemp,1927,Aug,18.3
UK,MaxTemp,1927,Sept,14.7
UK,MaxTemp,1927,Oct,12.9
UK,MaxTemp,1927,Nov,8.1
UK,MaxTemp,1927,Dec,3.5
UK,MaxTemp,1949,Jan,7.4
UK,MaxTemp,1928,Feb,8
UK,MaxTemp,1928,Mar,7.9
UK,MaxTemp,1928,Apr,11
UK,MaxTemp,1928,May,14
UK,MaxTemp,1928,Jun,15.5
UK,MaxTemp,1928,Jul,18.7
UK,MaxTemp,1928,Aug,18
UK,MaxTemp,1928,Sept,16
UK,MaxTemp,1928,Oct,12.5
UK,MaxTemp,1928,Nov,9.6
UK,MaxTemp,1928,Dec,5.8
UK,MaxTemp,2014,Jan,7.4
UK,MaxTemp,1929,Feb,2.9
UK,MaxTemp,1929,Mar,11.1
UK,MaxTemp,1929,Apr,9.8
UK,MaxTemp,1929,May,14.8
UK,MaxTemp,1929,Jun,16.3
UK,MaxTemp,1929,Jul,19.1
UK,MaxTemp,1929,Aug,17.8
UK,MaxTemp,1929,Sept,18.5
UK,MaxTemp,1929,Oct,11.8
UK,MaxTemp,1929,Nov,8.9
UK,MaxTemp,1929,Dec,7.3
UK,MaxTemp,2016,Jan,7.3
UK,MaxTemp,1930,Feb,4.4
UK,MaxTemp,1930,Mar,7.5
UK,MaxTemp,1930,Apr,10.6
UK,MaxTemp,1930,May,13.7
UK,MaxTemp,1930,Jun,18.6
UK,MaxTemp,1930,Jul,17.7
UK,MaxTemp,1930,Aug,18.3
UK,MaxTemp,1930,Sept,15.8
UK,MaxTemp,1930,Oct,12.4
UK,MaxTemp,1930,Nov,8.3
UK,MaxTemp,1930,Dec,6.3
UK,MaxTemp,1928,Jan,7.2
UK,MaxTemp,1931,Feb,5.8
UK,MaxTemp,1931,Mar,6.8
UK,MaxTemp,1931,Apr,10.1
UK,MaxTemp,1931,May,14.1
UK,MaxTemp,1931,Jun,16.4
UK,MaxTemp,1931,Jul,17.6
UK,MaxTemp,1931,Aug,17.1
UK,MaxTemp,1931,Sept,14.5
UK,MaxTemp,1931,Oct,12
UK,MaxTemp,1931,Nov,9.6
UK,MaxTemp,1931,Dec,7.5
UK,MaxTemp,1999,Jan,7.2
UK,MaxTemp,1932,Feb,6.1
UK,MaxTemp,1932,Mar,7.8
UK,MaxTemp,1932,Apr,9.4
UK,MaxTemp,1932,May,12.8
UK,MaxTemp,1932,Jun,17.6
UK,MaxTemp,1932,Jul,18.3
UK,MaxTemp,1932,Aug,19.6
UK,MaxTemp,1932,Sept,15.6
UK,MaxTemp,1932,Oct,11.1
UK,MaxTemp,1932,Nov,8.4
UK,MaxTemp,1932,Dec,7.3
UK,MaxTemp,2000,Jan,7.2
UK,MaxTemp,1933,Feb,6.2
UK,MaxTemp,1933,Mar,10.6
UK,MaxTemp,1933,Apr,12
UK,MaxTemp,1933,May,14.8
UK,MaxTemp,1933,Jun,19
UK,MaxTemp,1933,Jul,20.9
UK,MaxTemp,1933,Aug,20.6
UK,MaxTemp,1933,Sept,18.3
UK,MaxTemp,1933,Oct,12.4
UK,MaxTemp,1933,Nov,7.7
UK,MaxTemp,1933,Dec,4.2
UK,MaxTemp,1925,Jan,7.1
UK,MaxTemp,1934,Feb,7.1
UK,MaxTemp,1934,Mar,7.6
UK,MaxTemp,1934,Apr,10.2
UK,MaxTemp,1934,May,14.5
UK,MaxTemp,1934,Jun,18.3
UK,MaxTemp,1934,Jul,21.5
UK,MaxTemp,1934,Aug,18.2
UK,MaxTemp,1934,Sept,17.4
UK,MaxTemp,1934,Oct,12.3
UK,MaxTemp,1934,Nov,8
UK,MaxTemp,1934,Dec,8.9
UK,MaxTemp,1930,Jan,7.1
UK,MaxTemp,1935,Feb,7.4
UK,MaxTemp,1935,Mar,9.2
UK,MaxTemp,1935,Apr,10.6
UK,MaxTemp,1935,May,13.9
UK,MaxTemp,1935,Jun,17.4
UK,MaxTemp,1935,Jul,20.3
UK,MaxTemp,1935,Aug,20
UK,MaxTemp,1935,Sept,15.9
UK,MaxTemp,1935,Oct,11.7
UK,MaxTemp,1935,Nov,8.5
UK,MaxTemp,1935,Dec,4.7
UK,MaxTemp,1976,Jan,7.1
UK,MaxTemp,1936,Feb,4.8
UK,MaxTemp,1936,Mar,8.9
UK,MaxTemp,1936,Apr,9.4
UK,MaxTemp,1936,May,14.7
UK,MaxTemp,1936,Jun,17.9
UK,MaxTemp,1936,Jul,17.7
UK,MaxTemp,1936,Aug,19.1
UK,MaxTemp,1936,Sept,16.7
UK,MaxTemp,1936,Oct,12.3
UK,MaxTemp,1936,Nov,8
UK,MaxTemp,1936,Dec,7.4
UK,MaxTemp,2004,Jan,7.1
UK,MaxTemp,1937,Feb,6.7
UK,MaxTemp,1937,Mar,5.6
UK,MaxTemp,1937,Apr,11.4
UK,MaxTemp,1937,May,15.3
UK,MaxTemp,1937,Jun,17
UK,MaxTemp,1937,Jul,18.4
UK,MaxTemp,1937,Aug,19.9
UK,MaxTemp,1937,Sept,16.2
UK,MaxTemp,1937,Oct,12.7
UK,MaxTemp,1937,Nov,7.9
UK,MaxTemp,1937,Dec,4.8
UK,MaxTemp,1998,Jan,7
UK,MaxTemp,1938,Feb,7
UK,MaxTemp,1938,Mar,11.9
UK,MaxTemp,1938,Apr,11.5
UK,MaxTemp,1938,May,13.7
UK,MaxTemp,1938,Jun,16.8
UK,MaxTemp,1938,Jul,17.7
UK,MaxTemp,1938,Aug,18.9
UK,MaxTemp,1938,Sept,16.5
UK,MaxTemp,1938,Oct,12.6
UK,MaxTemp,1938,Nov,10.6
UK,MaxTemp,1938,Dec,6.1
UK,MaxTemp,1934,Jan,6.9
UK,MaxTemp,1939,Feb,7.8
UK,MaxTemp,1939,Mar,8.2
UK,MaxTemp,1939,Apr,11.5
UK,MaxTemp,1939,May,14.7
UK,MaxTemp,1939,Jun,17.9
UK,MaxTemp,1939,Jul,17.7
UK,MaxTemp,1939,Aug,19.3
UK,MaxTemp,1939,Sept,16.9
UK,MaxTemp,1939,Oct,11.1
UK,MaxTemp,1939,Nov,10.1
UK,MaxTemp,1939,Dec,5.3
UK,MaxTemp,1937,Jan,6.9
UK,MaxTemp,1940,Feb,4.6
UK,MaxTemp,1940,Mar,8.5
UK,MaxTemp,1940,Apr,11.1
UK,MaxTemp,1940,May,16.3
UK,MaxTemp,1940,Jun,20.6
UK,MaxTemp,1940,Jul,17.7
UK,MaxTemp,1940,Aug,18.6
UK,MaxTemp,1940,Sept,15.8
UK,MaxTemp,1940,Oct,12
UK,MaxTemp,1940,Nov,8.8
UK,MaxTemp,1940,Dec,6
UK,MaxTemp,1969,Jan,6.9
UK,MaxTemp,1941,Feb,5.3
UK,MaxTemp,1941,Mar,7.5
UK,MaxTemp,1941,Apr,9
UK,MaxTemp,1941,May,12.7
UK,MaxTemp,1941,Jun,18.2
UK,MaxTemp,1941,Jul,20.1
UK,MaxTemp,1941,Aug,17.3
UK,MaxTemp,1941,Sept,17.5
UK,MaxTemp,1941,Oct,12.9
UK,MaxTemp,1941,Nov,8.7
UK,MaxTemp,1941,Dec,7.6
UK,MaxTemp,1920,Jan,6.8
UK,MaxTemp,1942,Feb,3
UK,MaxTemp,1942,Mar,7.5
UK,MaxTemp,1942,Apr,12.5
UK,MaxTemp,1942,May,14.5
UK,MaxTemp,1942,Jun,17.6
UK,MaxTemp,1942,Jul,18.2
UK,MaxTemp,1942,Aug,18.7
UK,MaxTemp,1942,Sept,16.1
UK,MaxTemp,1942,Oct,12.6
UK,MaxTemp,1942,Nov,7.9
UK,MaxTemp,1942,Dec,8.4
UK,MaxTemp,1981,Jan,6.7
UK,MaxTemp,1943,Feb,8.3
UK,MaxTemp,1943,Mar,9.9
UK,MaxTemp,1943,Apr,13.3
UK,MaxTemp,1943,May,15.2
UK,MaxTemp,1943,Jun,17.3
UK,MaxTemp,1943,Jul,19.4
UK,MaxTemp,1943,Aug,18
UK,MaxTemp,1943,Sept,15.8
UK,MaxTemp,1943,Oct,13.3
UK,MaxTemp,1943,Nov,8.4
UK,MaxTemp,1943,Dec,6
UK,MaxTemp,1988,Jan,6.7
UK,MaxTemp,1944,Feb,5.8
UK,MaxTemp,1944,Mar,8.4
UK,MaxTemp,1944,Apr,12.9
UK,MaxTemp,1944,May,14.5
UK,MaxTemp,1944,Jun,16.3
UK,MaxTemp,1944,Jul,18.6
UK,MaxTemp,1944,Aug,20
UK,MaxTemp,1944,Sept,15.2
UK,MaxTemp,1944,Oct,11.4
UK,MaxTemp,1944,Nov,8
UK,MaxTemp,1944,Dec,5.9
UK,MaxTemp,1994,Jan,6.7
UK,MaxTemp,1945,Feb,8.9
UK,MaxTemp,1945,Mar,11
UK,MaxTemp,1945,Apr,13.1
UK,MaxTemp,1945,May,15.1
UK,MaxTemp,1945,Jun,17.2
UK,MaxTemp,1945,Jul,19.4
UK,MaxTemp,1945,Aug,18.9
UK,MaxTemp,1945,Sept,16.8
UK,MaxTemp,1945,Oct,14.4
UK,MaxTemp,1945,Nov,9.4
UK,MaxTemp,1945,Dec,7.2
UK,MaxTemp,2015,Jan,6.7
UK,MaxTemp,1946,Feb,7.5
UK,MaxTemp,1946,Mar,8.3
UK,MaxTemp,1946,Apr,13.2
UK,MaxTemp,1946,May,14.2
UK,MaxTemp,1946,Jun,15.9
UK,MaxTemp,1946,Jul,18.7
UK,MaxTemp,1946,Aug,17.2
UK,MaxTemp,1946,Sept,16
UK,MaxTemp,1946,Oct,11.8
UK,MaxTemp,1946,Nov,9.6
UK,MaxTemp,1946,Dec,5.5
UK,MaxTemp,2017,Jan,6.7
UK,MaxTemp,1947,Feb,0.1
UK,MaxTemp,1947,Mar,5.3
UK,MaxTemp,1947,Apr,11
UK,MaxTemp,1947,May,16.2
UK,MaxTemp,1947,Jun,18
UK,MaxTemp,1947,Jul,19.3
UK,MaxTemp,1947,Aug,22.7
UK,MaxTemp,1947,Sept,17.6
UK,MaxTemp,1947,Oct,13.8
UK,MaxTemp,1947,Nov,9
UK,MaxTemp,1947,Dec,6.8
UK,MaxTemp,1926,Jan,6.5
UK,MaxTemp,1948,Feb,6.6
UK,MaxTemp,1948,Mar,11.8
UK,MaxTemp,1948,Apr,12.2
UK,MaxTemp,1948,May,15.2
UK,MaxTemp,1948,Jun,16.2
UK,MaxTemp,1948,Jul,18.3
UK,MaxTemp,1948,Aug,17.2
UK,MaxTemp,1948,Sept,16
UK,MaxTemp,1948,Oct,12.4
UK,MaxTemp,1948,Nov,9.7
UK,MaxTemp,1948,Dec,7.6
UK,MaxTemp,1935,Jan,6.5
UK,MaxTemp,1949,Feb,8.3
UK,MaxTemp,1949,Mar,7.9
UK,MaxTemp,1949,Apr,12.7
UK,MaxTemp,1949,May,14.5
UK,MaxTemp,1949,Jun,18.6
UK,MaxTemp,1949,Jul,20.4
UK,MaxTemp,1949,Aug,19.6
UK,MaxTemp,1949,Sept,18.8
UK,MaxTemp,1949,Oct,14
UK,MaxTemp,1949,Nov,8.8
UK,MaxTemp,1949,Dec,7.3
UK,MaxTemp,1943,Jan,6.5
UK,MaxTemp,1950,Feb,7.1
UK,MaxTemp,1950,Mar,10.3
UK,MaxTemp,1950,Apr,10.2
UK,MaxTemp,1950,May,14.3
UK,MaxTemp,1950,Jun,19.1
UK,MaxTemp,1950,Jul,18.6
UK,MaxTemp,1950,Aug,18.4
UK,MaxTemp,1950,Sept,15
UK,MaxTemp,1950,Oct,11.9
UK,MaxTemp,1950,Nov,7.5
UK,MaxTemp,1950,Dec,3
UK,MaxTemp,1962,Jan,6.5
UK,MaxTemp,1951,Feb,5.3
UK,MaxTemp,1951,Mar,6.3
UK,MaxTemp,1951,Apr,9.5
UK,MaxTemp,1951,May,12.8
UK,MaxTemp,1951,Jun,17
UK,MaxTemp,1951,Jul,19
UK,MaxTemp,1951,Aug,17.3
UK,MaxTemp,1951,Sept,16.5
UK,MaxTemp,1951,Oct,12.8
UK,MaxTemp,1951,Nov,10
UK,MaxTemp,1951,Dec,7.5
UK,MaxTemp,1995,Jan,6.5
UK,MaxTemp,1952,Feb,5.9
UK,MaxTemp,1952,Mar,8.6
UK,MaxTemp,1952,Apr,12.8
UK,MaxTemp,1952,May,16.2
UK,MaxTemp,1952,Jun,16.8
UK,MaxTemp,1952,Jul,19.3
UK,MaxTemp,1952,Aug,18.4
UK,MaxTemp,1952,Sept,13.6
UK,MaxTemp,1952,Oct,11.3
UK,MaxTemp,1952,Nov,6.2
UK,MaxTemp,1952,Dec,5.3
UK,MaxTemp,1927,Jan,6.4
UK,MaxTemp,1953,Feb,6.7
UK,MaxTemp,1953,Mar,9.8
UK,MaxTemp,1953,Apr,10.3
UK,MaxTemp,1953,May,15.7
UK,MaxTemp,1953,Jun,17.1
UK,MaxTemp,1953,Jul,17.9
UK,MaxTemp,1953,Aug,18.8
UK,MaxTemp,1953,Sept,16.6
UK,MaxTemp,1953,Oct,12.7
UK,MaxTemp,1953,Nov,10.1
UK,MaxTemp,1953,Dec,8.5
UK,MaxTemp,1948,Jan,6.4
UK,MaxTemp,1954,Feb,4.6
UK,MaxTemp,1954,Mar,8
UK,MaxTemp,1954,Apr,11.2
UK,MaxTemp,1954,May,14.3
UK,MaxTemp,1954,Jun,15.9
UK,MaxTemp,1954,Jul,16.4
UK,MaxTemp,1954,Aug,16.8
UK,MaxTemp,1954,Sept,15.1
UK,MaxTemp,1954,Oct,13.5
UK,MaxTemp,1954,Nov,9
UK,MaxTemp,1954,Dec,8.1
UK,MaxTemp,1971,Jan,6.4
UK,MaxTemp,1955,Feb,3.2
UK,MaxTemp,1955,Mar,6.3
UK,MaxTemp,1955,Apr,12.7
UK,MaxTemp,1955,May,12.7
UK,MaxTemp,1955,Jun,16.5
UK,MaxTemp,1955,Jul,21.3
UK,MaxTemp,1955,Aug,21.2
UK,MaxTemp,1955,Sept,17.2
UK,MaxTemp,1955,Oct,12
UK,MaxTemp,1955,Nov,9.4
UK,MaxTemp,1955,Dec,7.4
UK,MaxTemp,2003,Jan,6.4
UK,MaxTemp,1956,Feb,3
UK,MaxTemp,1956,Mar,9
UK,MaxTemp,1956,Apr,10.3
UK,MaxTemp,1956,May,15.4
UK,MaxTemp,1956,Jun,15.9
UK,MaxTemp,1956,Jul,18
UK,MaxTemp,1956,Aug,15.9
UK,MaxTemp,1956,Sept,16.4
UK,MaxTemp,1956,Oct,12.1
UK,MaxTemp,1956,Nov,8.4
UK,MaxTemp,1956,Dec,7.6
UK,MaxTemp,2006,Jan,6.4
UK,MaxTemp,1957,Feb,7
UK,MaxTemp,1957,Mar,11.2
UK,MaxTemp,1957,Apr,11.9
UK,MaxTemp,1957,May,13.9
UK,MaxTemp,1957,Jun,19
UK,MaxTemp,1957,Jul,18.4
UK,MaxTemp,1957,Aug,17.8
UK,MaxTemp,1957,Sept,14.6
UK,MaxTemp,1957,Oct,13.1
UK,MaxTemp,1957,Nov,8.3
UK,MaxTemp,1957,Dec,6.8
UK,MaxTemp,1924,Jan,6.3
UK,MaxTemp,1958,Feb,6.6
UK,MaxTemp,1958,Mar,5.8
UK,MaxTemp,1958,Apr,10.4
UK,MaxTemp,1958,May,13.8
